holiday_date,holiday_name
2015-12-25,NATAL
2016-01-01,CONFRATERNIZACAO MUNDIAL
2016-02-08,CARNAVAL
2016-02-09,CARNAVAL
2016-03-25,SEXTA-FEIRA SANTA
2016-03-27,PASCOA
2016-04-21,TIRADENTES
2016-05-01,DIA DO TRABALHO
2016-05-26,CORPUS CHRISTI
2016-09-07,INDEPENDENCIA DO BRASIL
2016-10-12,NOSSA SENHORA APARECIDA
2016-11-02,FINADOS
2016-11-15,PROCLAMACAO DA REPUBLICA
2016-12-25,NATAL
2017-01-01,CONFRATERNIZACAO MUNDIAL
2017-02-27,CARNAVAL
2017-02-28,CARNAVAL
2017-04-14,SEXTA-FEIRA SANTA
2017-04-16,PASCOA
2017-04-21,TIRADENTES
2017-05-01,DIA DO TRABALHO
2017-06-15,CORPUS CHRISTI
2017-09-07,INDEPENDENCIA DO BRASIL
2017-10-12,NOSSA SENHORA APARECIDA
2017-11-02,FINADOS
2017-11-15,PROCLAMACAO DA REPUBLICA
2017-12-25,NATAL
2018-01-01,CONFRATERNIZACAO MUNDIAL
2018-02-12,CARNAVAL
2018-02-13,CARNAVAL
2018-03-30,SEXTA-FEIRA SANTA
2018-04-01,PASCOA
2018-04-21,TIRADENTES
2018-05-01,DIA DO TRABALHO
2018-05-31,CORPUS CHRISTI
2018-09-07,INDEPENDENCIA DO BRASIL
2018-10-12,NOSSA SENHORA APARECIDA
2018-11-02,FINADOS
2018-11-15,PROCLAMACAO DA REPUBLICA
2018-12-25,NATAL
2019-01-01,CONFRATERNIZACAO MUNDIAL
2019-03-04,CARNAVAL
2019-03-05,CARNAVAL
2019-04-19,SEXTA-FEIRA SANTA
2019-04-21,PASCOA / TIRADENTES
2019-05-01,DIA DO TRABALHO
2019-06-20,CORPUS CHRISTI
2019-09-07,INDEPENDENCIA DO BRASIL
2019-10-12,NOSSA SENHORA APARECIDA
2019-11-02,FINADOS
2019-11-15,PROCLAMACAO DA REPUBLICA
2019-12-25,NATAL
2020-01-01,CONFRATERNIZACAO MUNDIAL
2020-02-24,CARNAVAL
2020-02-25,CARNAVAL
2020-04-10,SEXTA-FEIRA SANTA
2020-04-12,PASCOA
2020-04-21,TIRADENTES
2020-05-01,DIA DO TRABALHO
2020-06-11,CORPUS CHRISTI
2020-09-07,INDEPENDENCIA DO BRASIL
2020-10-12,NOSSA SENHORA APARECIDA
2020-11-02,FINADOS
2020-11-15,PROCLAMACAO DA REPUBLICA
2020-12-25,NATAL
2021-01-01,CONFRATERNIZACAO MUNDIAL
2021-02-15,CARNAVAL
2021-02-16,CARNAVAL
2021-04-02,SEXTA-FEIRA SANTA
2021-04-04,PASCOA
2021-04-21,TIRADENTES
2021-05-01,DIA DO TRABALHO
2021-06-03,CORPUS CHRISTI
2021-09-07,INDEPENDENCIA DO BRASIL
2021-10-12,NOSSA SENHORA APARECIDA
2021-11-02,FINADOS
2021-11-15,PROCLAMACAO DA REPUBLICA
2021-12-25,NATAL
2022-01-01,CONFRATERNIZACAO MUNDIAL
2022-02-28,CARNAVAL
2022-03-01,CARNAVAL
2022-04-15,SEXTA-FEIRA SANTA
2022-04-17,PASCOA
2022-04-21,TIRADENTES
2022-05-01,DIA DO TRABALHO
2022-06-16,CORPUS CHRISTI
2022-09-07,INDEPENDENCIA DO BRASIL
2022-10-12,NOSSA SENHORA APARECIDA
2022-11-02,FINADOS
2022-11-15,PROCLAMACAO DA REPUBLICA
2022-12-25,NATAL
2023-01-01,CONFRATERNIZACAO MUNDIAL
2023-02-20,CARNAVAL
2023-02-21,CARNAVAL
2023-04-07,SEXTA-FEIRA SANTA
2023-04-09,PASCOA
2023-04-21,TIRADENTES
2023-05-01,DIA DO TRABALHO
2023-06-08,CORPUS CHRISTI
2023-09-07,INDEPENDENCIA DO BRASIL
2023-10-12,NOSSA SENHORA APARECIDA
2023-11-02,FINADOS
2023-11-15,PROCLAMACAO DA REPUBLICA
2023-12-25,NATAL
2024-01-01,CONFRATERNIZACAO MUNDIAL
2024-02-12,CARNAVAL
2024-02-13,CARNAVAL
2024-03-29,SEXTA-FEIRA SANTA
2024-03-31,PASCOA
2024-04-21,TIRADENTES
2024-05-01,DIA DO TRABALHO
2024-05-30,CORPUS CHRISTI
2024-09-07,INDEPENDENCIA DO BRASIL
2024-10-12,NOSSA SENHORA APARECIDA
2024-11-02,FINADOS
2024-11-15,PROCLAMACAO DA REPUBLICA
2024-11-20,DIA DA CONSCIENCIA NEGRA
2024-12-25,NATAL
2025-01-01,CONFRATERNIZACAO MUNDIAL
2025-03-03,CARNAVAL
2025-03-04,CARNAVAL
2025-04-18,SEXTA-FEIRA SANTA
2025-04-20,PASCOA
2025-04-21,TIRADENTES
2025-05-01,DIA DO TRABALHO
2025-06-19,CORPUS CHRISTI
2025-09-07,INDEPENDENCIA DO BRASIL
2025-10-12,NOSSA SENHORA APARECIDA
2025-11-02,FINADOS
2025-11-15,PROCLAMACAO DA REPUBLICA
2025-11-20,DIA DA CONSCIENCIA NEGRA
2025-12-25,NATAL
2026-01-01,CONFRATERNIZACAO MUNDIAL
2026-02-16,CARNAVAL
2026-02-17,CARNAVAL
2026-04-03,SEXTA-FEIRA SANTA
2026-04-05,PASCOA
2026-04-21,TIRADENTES
2026-05-01,DIA DO TRABALHO
2026-06-04,CORPUS CHRISTI
2026-09-07,INDEPENDENCIA DO BRASIL
2026-10-12,NOSSA SENHORA APARECIDA
2026-11-02,FINADOS
2026-11-15,PROCLAMACAO DA REPUBLICA
2026-11-20,DIA DA CONSCIENCIA NEGRA
2026-12-25,NATAL
2027-01-01,CONFRATERNIZACAO MUNDIAL
2027-02-08,CARNAVAL
2027-02-09,CARNAVAL
2027-03-26,SEXTA-FEIRA SANTA
2027-03-28,PASCOA
2027-04-21,TIRADENTES
2027-05-01,DIA DO TRABALHO
2027-05-27,CORPUS CHRISTI
2027-09-07,INDEPENDENCIA DO BRASIL
2027-10-12,NOSSA SENHORA APARECIDA
2027-11-02,FINADOS
2027-11-15,PROCLAMACAO DA REPUBLICA
2027-11-20,DIA DA CONSCIENCIA NEGRA
2027-12-25,NATAL
